bereich,station1,station2,station3,station4,station5
1,1,2,2,1,1
2,6,14,17,5,1
3,13,5,1,2,1
4,1,4,2,1,0
5,6,24,18,15,2
6,1,11,12,8,0
7,1,1,2,2,0
8,2,3,1,0,0
9,2,10,11,4,0
10,3,1,1,1,0
11,5,8,8,1,0
12,0,1,1,0,0
13,0,1,1,0,0
14,1,1,4,3,0
15,0,2,1,1,0
16,0,2,3,1,0
17,0,1,1,2,0
18,0,0,0,1,0
